ticker,title,publisher,link,providerPublishTime,type,collected_at,category
QQQ,,,,,,2025-10-23 17:00:20.561383,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561384,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561385,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561385,Technology ETF
QQQ,,,,,,2025-10-23 17:00:20.561386,Technology ETF
IWM,,,,,,2025-10-23 17:00:20.669153,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669162,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669164,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669166,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669168,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669170,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669171,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669173,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669175,Small Cap ETF
IWM,,,,,,2025-10-23 17:00:20.669177,Small Cap ETF
IJH,,,,,,2025-10-23 17:00:20.756445,Mid Cap ETF
IJH,,,,,,2025-10-23 17:00:20.756458,Mid Cap ETF
IJH,,,,,,2025-10-23 17:00:20.756463,Mid Cap ETF
IJH,,,,,,2025-10-23 17:00:20.756466,Mid Cap ETF
IJH,,,,,,2025-10-23 17:00:20.756468,Mid Cap ETF
IJH,,,,,,2025-10-23 17:00:20.756470,Mid Cap ETF
IJH,,,,,,2025-10-23 17:00:20.756472,Mid Cap ETF
